"export-plot data (NetLogo 6.4.0)"
"Eretria-metapopulation.nlogo"
"05/28/2025 22:40:40:788 +0200"

"MODEL SETTINGS"
"max-carrying-capacity-contribution-per-ha-grain","max-catchment-distance","c1-women","cdmlt-level","mu-fert","sigma1-fert","sigma2-men","show-land-use","density-effect-scaling-factor","c1-men","show-sites-land-use","mu-women","period","sigma1-men","show-sites","show-territories","max-carrying-capacity-contribution-per-ha-forest","acceptable-kinship-degree-for-couples","labour-requirement-per-ha-other","max-population","sigma2-women","mu-men","labour-requirement-per-ha-grain","max-couple-count-distribution","household-initial-age-distribution","seed","sigma2-fert","residence-rule","initial-num-households-per-site","sigma1-women","max-iterations","coale-demeny-region","c1-fert","display-mode","max-carrying-capacity-contribution-per-ha-other","labour-requirement-per-ha-forest","type-of-experiment"
"4","5","0.95","16","17","3","10","false","0.05","0.95","true","20","""500CE""","2","true","true","0.3","9","0.5","150000","10","20","1.2","""1 6""","""0 30""","3","15","""random""","25","2","2000","""south""","0.95","""elevation""","2.5","0.2","""user-defined"""

"""Population"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","116","0","127000","true","""total""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""total""","true","0","1","0","101"
"""women""","true","0","1","15","101"
"""men""","true","0","1","105","101"
"""mean  K""","true","0","1","5","101"

"""total""",,,,"""women""",,,,"""men""",,,,"""mean  K"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","2182","0","true","0","1076","15","true","0","1106","105","true","0","4087.5333962440855","5","true"
"1","2398","0","true","1","1114","15","true","1","1284","105","true","1","4242.836186491511","5","true"
"2","2640","0","true","2","1232","15","true","2","1408","105","true","2","4424.907275198325","5","true"
"3","2857","0","true","3","1315","15","true","3","1542","105","true","3","4606.92217233133","5","true"
"4","3074","0","true","4","1428","15","true","4","1646","105","true","4","4714.506678467683","5","true"
"5","3278","0","true","5","1517","15","true","5","1761","105","true","5","4811.269135146995","5","true"
"6","3516","0","true","6","1649","15","true","6","1867","105","true","6","4851.802663193482","5","true"
"7","3713","0","true","7","1740","15","true","7","1973","105","true","7","4972.968962426758","5","true"
"8","3921","0","true","8","1853","15","true","8","2068","105","true","8","5068.0673868413905","5","true"
"9","4118","0","true","9","1959","15","true","9","2159","105","true","9","5375.769795203645","5","true"
"10","4342","0","true","10","2060","15","true","10","2282","105","true","10","5449.888934509131","5","true"
"11","4565","0","true","11","2168","15","true","11","2397","105","true","11","5446.019776826462","5","true"
"12","4788","0","true","12","2273","15","true","12","2515","105","true","12","5501.229150185334","5","true"
"13","5033","0","true","13","2380","15","true","13","2653","105","true","13","5710.556058746514","5","true"
"14","5233","0","true","14","2474","15","true","14","2759","105","true","14","6084.513603656857","5","true"
"15","5437","0","true","15","2557","15","true","15","2880","105","true","15","6273.945770432203","5","true"
"16","5686","0","true","16","2682","15","true","16","3004","105","true","16","6887.777922062997","5","true"
"17","5923","0","true","17","2786","15","true","17","3137","105","true","17","7257.935784518075","5","true"
"18","6180","0","true","18","2898","15","true","18","3282","105","true","18","8054.57791679659","5","true"
"19","6435","0","true","19","3048","15","true","19","3387","105","true","19","8334.463710856897","5","true"
"20","6726","0","true","20","3189","15","true","20","3537","105","true","20","9044.636241579876","5","true"
"21","7059","0","true","21","3348","15","true","21","3711","105","true","21","9558.853561847049","5","true"
"22","7435","0","true","22","3511","15","true","22","3924","105","true","22","9902.283369634724","5","true"
"23","7834","0","true","23","3690","15","true","23","4144","105","true","23","10419.022730349097","5","true"
"24","8321","0","true","24","3918","15","true","24","4403","105","true","24","10856.679582251236","5","true"
"25","8841","0","true","25","4154","15","true","25","4687","105","true","25","11337.554182018195","5","true"
"26","9386","0","true","26","4397","15","true","26","4989","105","true","26","12283.754981551016","5","true"
"27","9968","0","true","27","4654","15","true","27","5314","105","true","27","12528.592108612786","5","true"
"28","10551","0","true","28","4936","15","true","28","5615","105","true","28","13041.779774019898","5","true"
"29","11166","0","true","29","5232","15","true","29","5934","105","true","29","13795.818311397286","5","true"
"30","11828","0","true","30","5561","15","true","30","6267","105","true","30","14397.27989501609","5","true"
"31","12559","0","true","31","5902","15","true","31","6657","105","true","31","14726.194678944034","5","true"
"32","13304","0","true","32","6260","15","true","32","7044","105","true","32","15498.323378739016","5","true"
"33","14039","0","true","33","6642","15","true","33","7397","105","true","33","16205.938638463542","5","true"
"34","14793","0","true","34","6996","15","true","34","7797","105","true","34","17327.048820253553","5","true"
